"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"275","동물위탁관리업","02_03_10_P","5380000","538000004820200017","20201005","","01","영업/정상","0000","정상","","","","","","0","","경상남도 양산시 동면 금산리 ****-*","경상남도 양산시 동면 금오*길 **-**","50639","올리스 펫 호텔","20220428180945","I","2022-07-02 17:34:28.0","","383881.481543098","203383.159445189","동물위탁관리업","동물위탁관리업","000","0",
"276","동물위탁관리업","02_03_10_P","5380000","538000004820210004","20210304","","01","영업/정상","0000","정상","","","","","","0","","경상남도 양산시 덕계동 **** 세원상가","경상남도 양산시 덕계*길 **, 세원상가 *층 (덕계동)","50556","몽글몽글","20220428180946","I","2022-07-02 17:34:28.0","","395004.067572474","210026.172536238","동물위탁관리업","동물위탁관리업","000","0",
"277","동물위탁관리업","02_03_10_P","5380000","538000004820210012","20210326","","01","영업/정상","0000","정상","","","","","","0","","경상남도 양산시 명동 ***-*","경상남도 양산시 삼호로 ** (명동)","50532","Hi 댕댕","20220428180946","I","2022-07-02 17:34:28.0","","396844.798130079","214394.19195258","동물위탁관리업","동물위탁관리업","000","0",
"278","동물위탁관리업","02_03_10_P","5570000","557000004820180006","20181001","","01","영업/정상","0000","정상","","","","","","0","","충청북도 증평군 증평읍 창동리 ***","충청북도 증평군 증평읍 중앙로 ***-*","27928","똥강아지애견샵","20220517112859","U","2022-07-02 17:34:28.0","","251646.711343","364741.92439","동물위탁관리업","동물위탁관리업","000","0",
"279","동물위탁관리업","02_03_10_P","5570000","557000004820180007","20181112","","01","영업/정상","0000","정상","","","","","043-836-5009","0","","충청북도 증평군 증평읍 초중리 **-**","충청북도 증평군 증평읍 중앙로 ***","27943","퍼피엔젤","20220428181220","I","2022-07-02 17:34:28.0","","251391.538102","364292.169578","동물위탁관리업","동물위탁관리업","000","0",
"280","동물위탁관리업","02_03_10_P","5700000","570000004820180013","20180716","","01","영업/정상","0000","정상","","","","","","0","","경기도 여주시 하동 ***-*","경기도 여주시 여흥로**번길 ** (하동)","12623","HaRi Grooming(하리애견)","20220428180915","I","2022-07-02 17:34:28.0","","255971.981530833","422007.647166268","동물위탁관리업","동물위탁관리업","000","0",
"281","동물위탁관리업","02_03_10_P","5700000","570000004820180014","20180810","","01","영업/정상","0000","정상","","","","","883-8525","0","","경기도 여주시 오학동 ***-*","경기도 여주시 강변북로 ** (오학동)","12639","러블리펫","20220428180915","I","2022-07-02 17:34:28.0","","257193.182728149","422395.634758715","동물위탁관리업","동물위탁관리업","000","0",
"282","동물위탁관리업","02_03_10_P","5700000","570000004820180019","20180919","","01","영업/정상","0000","정상","","","","","031-885-1222","0","","경기도 여주시 홍문동 ***-*","경기도 여주시 세종로**번길 **, *층 (홍문동)","12630","여주 멍스타","20220428180915","I","2022-07-02 17:34:28.0","","256513.202410727","421304.920225189","동물위탁관리업","동물위탁관리업","000","0",
"283","동물위탁관리업","02_03_10_P","5700000","570000004820180022","20180921","","01","영업/정상","0000","정상","","","","","031-882-5566","0","","경기도 여주시 창동 ***-**","경기도 여주시 세종로 **, *층 (창동)","12627","더 행복하개","20220428180916","I","2022-07-02 17:34:28.0","","256301.842669114","421527.642599457","동물위탁관리업","동물위탁관리업","000","0",
"284","동물위탁관리업","02_03_10_P","5700000","570000004820180024","20180921","","01","영업/정상","0000","정상","","","","","","0","","경기도 여주시 점동면 사곡리 ***","경기도 여주시 점동면 안평로 **","12665","플라잉독","20220428180916","I","2022-07-02 17:34:28.0","","261803.706830516","411624.988786726","동물위탁관리업","동물위탁관리업","000","0",
"285","동물위탁관리업","02_03_10_P","5700000","570000004820180032","20181016","","01","영업/정상","0000","정상","","","","","","0","","경기도 여주시 흥천면 귀백리 ***","경기도 여주시 흥천면 독정말길 **-**","12607","네발로 코리아","20220428180916","I","2022-07-02 17:34:28.0","","248954.2953111","425915.273739838","동물위탁관리업","동물위탁관리업","000","0",
"286","동물위탁관리업","02_03_10_P","5700000","570000004820190008","20190507","","01","영업/정상","0000","정상","","","","","031-885-1222","0","","경기도 여주시 홍문동 ***-*","경기도 여주시 세종로**번길 **, *층 (홍문동)","12630","야옹아 놀자","20220428180916","I","2022-07-02 17:34:28.0","","256513.202410727","421304.920225189","동물위탁관리업","동물위탁관리업","000","0",
"287","동물위탁관리업","02_03_10_P","5700000","570000004820200002","20200327","","01","영업/정상","0000","정상","","","","","","0","","경기도 여주시 홍문동 **-**","경기도 여주시 여흥로 ***, *층 (홍문동)","12628","뽀송하개","20220428180916","I","2022-07-02 17:34:28.0","","256465.045961593","421679.325311322","동물위탁관리업","동물위탁관리업","000","0",
"288","동물위탁관리업","02_03_10_P","5700000","570000004820200007","20201112","","01","영업/정상","0000","정상","","","","","","0","","경기도 여주시 산북면 백자리 **-*","경기도 여주시 산북면 광여로 ****, ****(주*동)","12600","임현곤 반려견 교육센터","20220428180917","I","2022-07-02 17:34:28.0","","","","동물위탁관리업","동물위탁관리업","000","0",
"289","동물위탁관리업","02_03_10_P","5700000","570000004820210005","20210308","","01","영업/정상","0000","정상","","","","","","0","","경기도 여주시 현암동 ***-**","경기도 여주시 현암*길 **-* (현암동)","12637","팝콘이네","20220428180917","I","2022-07-02 17:34:28.0","","","","동물위탁관리업","동물위탁관리업","000","0",
"290","동물위탁관리업","02_03_10_P","5700000","570000004820210008","20210608","","01","영업/정상","0000","정상","","","","","","0","","경기도 여주시 현암동 ***-*","경기도 여주시 현암로 **-**, *층 (현암동)","12638","몽몽몽(MONG MONG MONG)","20220428180917","I","2022-07-02 17:34:28.0","","255983.490436189","423615.622219619","동물위탁관리업","동물위탁관리업","000","0",
"291","동물위탁관리업","02_03_10_P","5700000","570000004820210009","20210818","","01","영업/정상","0000","정상","","","","","","0","","경기도 여주시 홍문동 *** 모범빌딩","경기도 여주시 세종로**번길 **, 모범빌딩 *층 (홍문동)","12631","어서오시개","20220428180917","I","2022-07-02 17:34:28.0","","256497.574954433","421326.704771123","동물위탁관리업","동물위탁관리업","000","0",
"292","동물위탁관리업","02_03_10_P","5700000","570000004820220001","20220513","","01","영업/정상","0000","정상","","","","","","0","","경기도 여주시 오학동 ***","경기도 여주시 도예로 **-**, *층 (오학동)","12637","마시멜로냥","20220513114136","I","2022-07-02 17:34:28.0","","256870.754353538","423370.428761695","동물위탁관리업","동물위탁관리업","000","0",
"293","동물위탁관리업","02_03_10_P","5710000","571000004820210009","20210416","","01","영업/정상","0000","정상","","","","","043-292-0225","0","","충청북도 청주시 서원구 남이면 가마리 ***-*","충청북도 청주시 서원구 남이면 *순환로 ****-**","28632","모리셔스 개린이집","20220428180930","I","2022-07-02 17:34:28.0","","241689.858993","344389.552093","동물위탁관리업","동물위탁관리업","000","0",
"294","동물위탁관리업","02_03_10_P","5710000","571000004820210012","20210426","","01","영업/정상","0000","정상","","","","","043-291-6565","0","","충청북도 청주시 서원구 수곡동 *** 김이비인후과","충청북도 청주시 서원구 구룡산로 ***, 김이비인후과 (수곡동)","28688","핫 독(HOT DOG)","20220428180930","I","2022-07-02 17:34:28.0","","242137.659727","346228.902532","동물위탁관리업","동물위탁관리업","000","0",
"295","동물위탁관리업","02_03_10_P","5710000","571000004820210015","20210504","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 흥덕구 봉명동 ****","충청북도 청주시 흥덕구 백봉로 *** (봉명동)","28466","강아지 이발소","20220428180931","I","2022-07-02 17:34:28.0","","241563.244637","349905.997323","동물위탁관리업","동물위탁관리업","000","0",
"296","동물위탁관리업","02_03_10_P","5710000","571000004820210018","20210520","","01","영업/정상","0000","정상","","","","","043-262-9096","0","","충청북도 청주시 흥덕구 봉명동 ***-*","충청북도 청주시 흥덕구 직지대로 *** (봉명동)","28569","프리펫시티","20220428180932","I","2022-07-02 17:34:28.0","","240668.280234","349190.7237","동물위탁관리업","동물위탁관리업","000","0",
"297","동물위탁관리업","02_03_10_P","5710000","571000004820210019","20210531","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 흥덕구 옥산면 국사리 ***","충청북도 청주시 흥덕구 옥산면 옥산산단*로 **-*","28111","고쳐줄개","20220428180932","I","2022-07-02 17:34:28.0","","233699.894345","354109.885599","동물위탁관리업","동물위탁관리업","000","0",
"298","동물위탁관리업","02_03_10_P","5710000","571000004820210022","20210616","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 흥덕구 가경동 ****","충청북도 청주시 흥덕구 풍산로 **-*, *층 (가경동)","28395","뽀삐뽀삐","20220428180932","I","2022-07-02 17:34:28.0","","238795.26","347402.66","동물위탁관리업","동물위탁관리업","000","0",
"299","동물위탁관리업","02_03_10_P","5710000","571000004820210023","20210618","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 청원구 율량동 *** ***호","충청북도 청주시 청원구 율봉로 ***, ***호 (율량동)","28326","심쿵펫","20220428180933","I","2022-07-02 17:34:28.0","","243921.429136","352039.510475","동물위탁관리업","동물위탁관리업","000","0",
"300","동물위탁관리업","02_03_10_P","5710000","571000004820210029","20210811","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 서원구 수곡동 **-**","충청북도 청주시 서원구 청남로 ****(수곡동)","28709","어바웃댕댕","20220428180933","I","2022-07-02 17:34:28.0","","243408.009466","346008.724521","동물위탁관리업","동물위탁관리업","000","0",
"301","동물위탁관리업","02_03_10_P","5710000","571000004820210030","20210818","","01","영업/정상","0000","정상","","","","","070-8777-0325","0","","충청북도 청주시 상당구 방서동 ***-**","충청북도 청주시 상당구 동남로**번길 **(방서동)","28785","멍삼이네","20220428180933","I","2022-07-02 17:34:28.0","","","","동물위탁관리업","동물위탁관리업","000","0",
"302","동물위탁관리업","02_03_10_P","5710000","571000004820210032","20210903","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 상당구 북문로*가 **","충청북도 청주시 상당구 상당로**번길 *-*, *층 (북문로*가)","28526","멍이와 쿤이","20220428180934","I","2022-07-02 17:34:28.0","","243725.551866","348364.738728","동물위탁관리업","동물위탁관리업","000","0",
"303","동물위탁관리업","02_03_10_P","5710000","571000004820210042","20211015","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 흥덕구 복대동 **-* ***호","충청북도 청주시 흥덕구 가로수로****번길 *, ***호 (복대동)","28598","멍이맘&대디","20220428180934","I","2022-07-02 17:34:28.0","","239181.370157","347982.839383","동물위탁관리업","동물위탁관리업","000","0",
"304","동물위탁관리업","02_03_10_P","5710000","571000004820210047","20211028","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 상당구 방서동 **","충청북도 청주시 상당구 동남로 **(방서동)","28785","플란다스의 개","20220428180935","I","2022-07-02 17:34:28.0","","245343.584464","344632.420015","동물위탁관리업","동물위탁관리업","000","0",
"305","동물위탁관리업","02_03_10_P","5710000","571000004820210048","20211028","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 청원구 율량동 **** ***호","충청북도 청주시 청원구 충청대로 **, ***호 (율량동)","28334","댕댕이연구소 미용실","20220513093355","U","2022-07-02 17:34:28.0","","243995.355819","351676.299095","동물위탁관리업","동물위탁관리업","000","0",
"306","동물위탁관리업","02_03_10_P","5710000","571000004820210052","20211125","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 청원구 율량동 ****","충청북도 청주시 청원구 율중로 **, *층 (율량동)","28315","Deutsch Kurzhaar(도이치 쿠어츠하)","20220428180935","I","2022-07-02 17:34:28.0","","245177.309711","351098.210368","동물위탁관리업","동물위탁관리업","000","0",
"307","동물위탁관리업","02_03_10_P","5710000","571000004820210055","20211213","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 흥덕구 향정동 ***","충청북도 청주시 흥덕구 신성로 *-**(향정동)","28356","폴앤도기","20220428180936","I","2022-07-02 17:34:28.0","","237671.595984","350059.651421","동물위탁관리업","동물위탁관리업","000","0",
"308","동물위탁관리업","02_03_10_P","5710000","571000004820210058","20211213","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 서원구 개신동 ***-*","충청북도 청주시 서원구 모충로 **(개신동)","28668","도그마루 강아지고양이 청주점","20220428180936","I","2022-07-02 17:34:28.0","","241895.740661","347267.577771","동물위탁관리업","동물위탁관리업","000","0",
"309","동물위탁관리업","02_03_10_P","5710000","571000004820210062","20211227","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 상당구 북문로*가 **-* ***호","충청북도 청주시 상당구 사직대로***번길 **-*, ***호 (북문로*가)","28545","명품애견","20220516155500","U","2022-07-02 17:34:28.0","","243542.569226","348606.869448","동물위탁관리업","동물위탁관리업","000","0",
"310","동물위탁관리업","02_03_10_P","5710000","571000004820220002","20220114","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 상당구 용정동 ***","충청북도 청주시 상당구 영운천로***번길 **(용정동)","28730","사랑해주개","20220428180937","I","2022-07-02 17:34:28.0","","245799.733265","346935.51743","동물위탁관리업","동물위탁관리업","000","0",
"311","동물위탁관리업","02_03_10_P","5710000","571000004820220003","20220517","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 상당구 용암동 ****","충청북도 청주시 상당구 원봉로 **-*, *층 (용암동)","28767","언니네 애견샵","20220517170114","I","2022-07-02 17:34:28.0","","245335.867397","346138.009947","동물위탁관리업","동물위탁관리업","000","0",
"312","동물위탁관리업","02_03_10_P","6510000","651000004820180061","20180921","","01","영업/정상","0000","정상","","","","","064-722-1585","0","","제주특별자치도 제주시 이도일동 ****-*","제주특별자치도 제주시 중앙로 *** (이도일동)","63198","개편한 세상","20220428181204","I","2022-07-02 17:34:28.0","","155943.687559","926.824705844","동물위탁관리업","동물위탁관리업","000","0",
"313","동물위탁관리업","02_03_10_P","6510000","651000004820180062","20180921","","01","영업/정상","0000","정상","","","","","064-722-0953","0","","제주특별자치도 제주시 아라이동 ****-*","제주특별자치도 제주시 신설로**길 *-* (아라이동)","63229","체리애견","20220428181204","I","2022-07-02 17:34:28.0","","157553.305","-470.56","동물위탁관리업","동물위탁관리업","000","0",
"314","동물위탁관리업","02_03_10_P","6510000","651000004820180063","20180921","","01","영업/정상","0000","정상","","","","","064-751-0709","0","","제주특별자치도 제주시 이도일동 ****-*","제주특별자치도 제주시 서광로 *** (이도일동)","63198","맹구와 땡칠이","20220428181204","I","2022-07-02 17:34:28.0","","155968.39076","556.671662909","동물위탁관리업","동물위탁관리업","000","0",
"315","동물위탁관리업","02_03_10_P","6510000","651000004820180079","20180922","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 제주시 오라삼동 ****-*","제주특별자치도 제주시 오라로*길 **-*, *층 (오라삼동)","63149","해피 애견 놀이방","20220428181205","I","2022-07-02 17:34:28.0","","154199.40793","289.843563185","동물위탁관리업","동물위탁관리업","000","0",
"316","동물위탁관리업","02_03_10_P","6510000","651000004820180080","20180922","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 제주시 노형동 ****-*","제주특별자치도 제주시 월광로 ** (노형동)","63105","펫츠베이 제주 노형점","20220428181206","I","2022-07-02 17:34:28.0","","150204.050706","-1221.26865726","동물위탁관리업","동물위탁관리업","000","0",
"317","동물위탁관리업","02_03_10_P","6510000","651000004820180083","20181001","","01","영업/정상","0000","정상","","","","","064-702-9200","0","","제주특별자치도 제주시 아라일동 ***","제주특별자치도 제주시 삼의영길 ** (아라일동)","63249","제주애견학교","20220428181206","I","2022-07-02 17:34:28.0","","158431.595653","-3699.65004819","동물위탁관리업","동물위탁관리업","000","0",
"318","동물위탁관리업","02_03_10_P","6510000","651000004820180085","20181006","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 제주시 이도일동 ****-**","제주특별자치도 제주시 중앙로 ***, *층 (이도일동)","63198","퍼펫 애견카페","20220428181206","I","2022-07-02 17:34:28.0","","156113.564937","618.675810108","동물위탁관리업","동물위탁관리업","000","0",
"319","동물위탁관리업","02_03_10_P","6510000","651000004820180089","20181016","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 제주시 연동 ***-** 진빌딩","제주특별자치도 제주시 도령로 ***, 진빌딩 *층 (연동)","63118","웰니스 동물병원","20220428181206","I","2022-07-02 17:34:28.0","","152681.193562","-261.135646041","동물위탁관리업","동물위탁관리업","000","0",
"320","동물위탁관리업","02_03_10_P","6510000","651000004820180098","20181030","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 제주시 조천읍 와흘리 ****-*","제주특별자치도 제주시 조천읍 중산간동로 ***","63344","루씨루씨애견유치원","20220428181207","I","2022-07-02 17:34:28.0","","164681.066925","1046.34377482","동물위탁관리업","동물위탁관리업","000","0",
"321","동물위탁관리업","02_03_10_P","6510000","651000004820190004","20190114","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 제주시 용담삼동 ****","제주특별자치도 제주시 어영길 **-** (용담삼동)","63114","오멍가멍 애견카페&호텔","20220428181208","I","2022-07-02 17:34:28.0","","153309.01547","2452.13047704","동물위탁관리업","동물위탁관리업","000","0",
"322","동물위탁관리업","02_03_10_P","6510000","651000004820190013","20190213","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 제주시 도두일동 ****-*","제주특별자치도 제주시 오일장서길 **-* (도두일동)","63116","영쓰독","20220428181209","I","2022-07-02 17:34:28.0","","151277.731526","-1.58310718527","동물위탁관리업","동물위탁관리업","000","0",
"323","동물위탁관리업","02_03_10_P","5710000","571000004820220006","20220721","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 흥덕구 서촌동 ***-*","충청북도 청주시 흥덕구 서촌로 **-*(서촌동)","28358","서촌동 댕번지","20220721135137","I","2022-07-23 00:22:29.0","","235441.396568","350243.155759","동물위탁관리업","동물위탁관리업","000","0",
"324","동물위탁관리업","02_03_10_P","5710000","571000004820220007","20220721","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 흥덕구 복대동 **** 준경빌라","충청북도 청주시 흥덕구 증안로**번길 **-*, 준경빌라 *층 (복대동)","28416","아지양이 펫샵","20220721143328","I","2022-07-23 00:22:29.0","","238042.189128","348398.722459","동물위탁관리업","동물위탁관리업","000","0",
"325","동물위탁관리업","02_03_10_P","4520000","452000004820220001","20220526","","01","영업/정상","0000","정상","","","","","","0","","충청남도 아산시 배방읍 회룡리 ***-**","충청남도 아산시 배방읍 솔치로 ***-**","31498","멈무들","20220729142809","U","2022-07-31 02:40:00.0","","205249.363652","360593.365927","동물위탁관리업","동물위탁관리업","000","0",
"326","동물위탁관리업","02_03_10_P","4670000","467000004820180004","20180614","","01","영업/정상","0000","정상","","","","","063-467-2335","0","","전라북도 군산시 수송동 ***","전라북도 군산시 수송*길 * (수송동)","54100","헬로펫","20220428181145","I","2022-07-02 17:34:28.0","","174350.354352","273449.629457","동물위탁관리업","동물위탁관리업","000","0",
"327","동물위탁관리업","02_03_10_P","4670000","467000004820180008","20180716","","01","영업/정상","0000","정상","","","","","","0","","전라북도 군산시 미장동 ***-**","전라북도 군산시 수송로 ***, *동 *층 (미장동)","54085","루이야학교가자","20220428181145","I","2022-07-02 17:34:28.0","","175356.71","273819.675","동물위탁관리업","동물위탁관리업","000","0",
"328","동물위탁관리업","02_03_10_P","4670000","467000004820180009","20180810","","01","영업/정상","0000","정상","","","","","446-0743","0","","전라북도 군산시 대명동 ***-**","전라북도 군산시 중앙로 ** (대명동)","54040","퍼피라이프","20220428181145","I","2022-07-02 17:34:28.0","","174949.465758","275147.139716","동물위탁관리업","동물위탁관리업","000","0",
"329","동물위탁관리업","02_03_10_P","4670000","467000004820180011","20180828","","01","영업/정상","0000","정상","","","","","","0","","전라북도 군산시 장재동 ***-* 월드애견","전라북도 군산시 중앙로 **, 월드애견 (장재동)","54038","월드애견","20220428181145","I","2022-07-02 17:34:28.0","","174683.264728","275527.79487","동물위탁관리업","동물위탁관리업","000","0",
"330","동물위탁관리업","02_03_10_P","4670000","467000004820180012","20180918","","01","영업/정상","0000","정상","","","","","063-465-4445","0","","전라북도 군산시 수송동 **-*","전라북도 군산시 문화로 *** (수송동)","54083","더 펫 애견샾","20220428181145","I","2022-07-02 17:34:28.0","","174831.871353","274466.7176","동물위탁관리업","동물위탁관리업","000","0",
"331","동물위탁관리업","02_03_10_P","4670000","467000004820180013","20180921","","01","영업/정상","0000","정상","","","","","0634624575","0","","전라북도 군산시 문화동 ***-* 한복맞춤대여전문점","전라북도 군산시 대학로 *** (문화동)","54133","퍼피하우스","20220428181145","I","2022-07-02 17:34:28.0","","172967.530983","274818.817559","동물위탁관리업","동물위탁관리업","000","0",
"332","동물위탁관리업","02_03_10_P","4670000","467000004820180014","20180921","","01","영업/정상","0000","정상","","","","","0634689590","0","","전라북도 군산시 수송동 *-***","전라북도 군산시 문화로 ***-*, *층 (수송동)","54084","엔젤애견수족관 화원","20220428181145","I","2022-07-02 17:34:28.0","","175085.011442","274475.933414","동물위탁관리업","동물위탁관리업","000","0",
"333","동물위탁관리업","02_03_10_P","4720000","472000004820200003","20201105","","01","영업/정상","0000","정상","","","","","","0","","전라북도 완주군 이서면 은교리 ***","전라북도 완주군 이서면 팥죽이로 ***-*, *층","55367","해피펫","20220428181150","I","2022-07-02 17:34:28.0","","201708.296681","255736.035755","동물위탁관리업","동물위탁관리업","000","0",
"334","동물위탁관리업","02_03_10_P","4720000","472000004820210002","20211027","","01","영업/정상","0000","정상","","","","","","0","","전라북도 완주군 봉동읍 구암리 산 **-*","전라북도 완주군 봉동읍 통샘길 **-*","55332","리츠펫 기승전견","20220428181150","I","2022-07-02 17:34:28.0","","209666.27036","272920.743233","동물위탁관리업","동물위탁관리업","000","0",
"335","동물위탁관리업","02_03_10_P","4950000","495000004820210002","20210527","","01","영업/정상","0000","정상","","","","","","0","","전라남도 무안군 일로읍 오룡리 ** 오룡 에듀포레 푸르지오","전라남도 무안군 일로읍 오룡중앙동로 **, 근생*동 *층 ***호 (오룡 에듀포레 푸르지오)","58580","댕댕살롱","20220428181131","I","2022-07-02 17:34:28.0","","","","동물위탁관리업","동물위탁관리업","000","0",
"336","동물위탁관리업","02_03_10_P","4950000","495000004820220001","20220627","","01","영업/정상","0000","정상","","","","","","0","","전라남도 무안군 삼향읍 남악리 **** 에드가채움 주상복합 아파트 ***호","전라남도 무안군 삼향읍 남악*로**번길 *, ***호 (에드가채움 주상복합 아파트)","58578","사랑스럽개","20220627185338","I","2022-07-02 17:34:28.0","","151101.859075","145598.483915","동물위탁관리업","동물위탁관리업","000","0",
"337","동물위탁관리업","02_03_10_P","5080000","508000004820180019","20180510","","01","영업/정상","0000","정상","","","","","054-472-4527","0","","경상북도 구미시 인의동 ***-*","경상북도 구미시 인동북길 ** (인의동)","39433","애견왕국","20220428180956","I","2022-07-02 17:34:28.0","","328063.358561688","290099.487665262","동물위탁관리업","동물위탁관리업","000","0",
"338","동물위탁관리업","02_03_10_P","5080000","508000004820180020","20180510","","01","영업/정상","0000","정상","","","","","","0","","경상북도 구미시 광평동 **-*","경상북도 구미시 광평길 **-* (광평동)","39345","촌놈애견샵","20220428180956","I","2022-07-02 17:34:28.0","","322931.445946952","290351.897134263","동물위탁관리업","동물위탁관리업","000","0",
"339","동물위탁관리업","02_03_10_P","5080000","508000004820180028","20180601","","01","영업/정상","0000","정상","","","","","","0","","경상북도 구미시 사곡동 ***-*","경상북도 구미시 상사서로 *** (사곡동)","39334","멍애견","20220428180957","I","2022-07-02 17:34:28.0","","322027.220245459","288947.527691021","동물위탁관리업","동물위탁관리업","000","0",
"340","동물위탁관리업","02_03_10_P","5080000","508000004820180029","20180601","","01","영업/정상","0000","정상","","","","","054-464-3435","0","","경상북도 구미시 상모동 **-*","경상북도 구미시 상사서로 ** (상모동)","39335","똥싸개","20220428180957","I","2022-07-02 17:34:28.0","","322009.311807419","288632.573367701","동물위탁관리업","동물위탁관리업","000","0",
"341","동물위탁관리업","02_03_10_P","5080000","508000004820180031","20180605","","01","영업/정상","0000","정상","","","","","","0","","경상북도 구미시 인의동 ****-*","경상북도 구미시 인동북길 ***, 화진빌딩 *층 (인의동)","39440","예뻐질:개&고양이카페","20220428180957","I","2022-07-02 17:34:28.0","","328738.325840913","289343.559389607","동물위탁관리업","동물위탁관리업","000","0",
"342","동물위탁관리업","02_03_10_P","5080000","508000004820180032","20180608","","01","영업/정상","0000","정상","","","","","","0","","경상북도 구미시 진평동 ***-*","경상북도 구미시 인동**길 **-** (진평동)","39410","권미정과 독벤져스의 오픈미용실","20220428180957","I","2022-07-02 17:34:28.0","","328490.508851454","288931.398715607","동물위탁관리업","동물위탁관리업","000","0",
"343","동물위탁관리업","02_03_10_P","5080000","508000004820180033","20180615","","01","영업/정상","0000","정상","","","","","","0","","경상북도 구미시 송정동 ***-*","경상북도 구미시 신시로 **-* (송정동)","39287","묘발소","20220428180957","I","2022-07-02 17:34:28.0","","320542.601782814","291343.151539202","동물위탁관리업","동물위탁관리업","000","0",
"344","동물위탁관리업","02_03_10_P","5080000","508000004820180035","20180628","","01","영업/정상","0000","정상","","","","","054-474-9773","0","","경상북도 구미시 인의동 ***-*","경상북도 구미시 인동**길 ** (인의동)","39439","나래도기","20220428180957","I","2022-07-02 17:34:28.0","","328724.187922377","289490.41969362","동물위탁관리업","동물위탁관리업","000","0",
"345","동물위탁관리업","02_03_10_P","5080000","508000004820180044","20180917","","01","영업/정상","0000","정상","","","","","054-475-1909","0","","경상북도 구미시 진평동 ****-**","경상북도 구미시 인동남길 **-* (진평동)","39397","왕짱","20220428180958","I","2022-07-02 17:34:28.0","","328028.330080811","290002.175278326","동물위탁관리업","동물위탁관리업","000","0",
"346","동물위탁관리업","02_03_10_P","5080000","508000004820180047","20181012","","01","영업/정상","0000","정상","","","","","054-455-4020","0","","경상북도 구미시 원평동 ****-*","경상북도 구미시 구미중앙로**길 *-* (원평동)","39234","개아범펫마트","20220428180958","I","2022-07-02 17:34:28.0","","321749.463736877","292026.504846726","동물위탁관리업","동물위탁관리업","000","0",
"347","동물위탁관리업","02_03_10_P","5080000","508000004820180048","20181016","","01","영업/정상","0000","정상","","","","","","0","","경상북도 구미시 진평동 ***","경상북도 구미시 인동*길 **, *층 (진평동)","39397","쿨쿨펫","20220428180958","I","2022-07-02 17:34:28.0","","327802.625091959","290203.742018405","동물위탁관리업","동물위탁관리업","000","0",
"348","동물위탁관리업","02_03_10_P","5080000","508000004820190001","20190108","","01","영업/정상","0000","정상","","","","","054-473-8778","0","","경상북도 구미시 진평동 **-**","경상북도 구미시 인동**길 ** (진평동)","39407","아지트","20220428180959","I","2022-07-02 17:34:28.0","","328198.772036017","289304.54264473","동물위탁관리업","동물위탁관리업","000","0",
"349","동물위탁관리업","02_03_10_P","5080000","508000004820190002","20190118","","01","영업/정상","0000","정상","","","","","054-442-8892","0","","경상북도 구미시 봉곡동 ***-*","경상북도 구미시 봉곡로 *** (봉곡동)","39208","앤애견샵","20220428180959","I","2022-07-02 17:34:28.0","","317849.608223969","295238.366221805","동물위탁관리업","동물위탁관리업","000","0",
"350","동물위탁관리업","02_03_10_P","5380000","538000004820210013","20210326","","01","영업/정상","0000","정상","","","","","","0","","경상남도 양산시 물금읍 범어리 ****-* 에이원메트로","경상남도 양산시 물금읍 부산대학로 ***, 에이원메트로 ***호","50652","도담도담","20220428180946","I","2022-07-02 17:34:28.0","","382914.25037014","203612.258386384","동물위탁관리업","동물위탁관리업","000","0",
